Time,Study.no,Study,Authors,Year,N,Age,Variable,Component,Task,Cor,Group,Seq_type,Seq_complexity,Trial_no,Response
1,1,Clark and Lum (2017a),Clark and Lum ,2017a,20,8.920833333,Language,Grammar,Sentence Comprehension Task (Rt),0.07,DLD,deterministic,FOC,240,keyboard
1,1,Clark and Lum (2017a),Clark and Lum ,2017a,20,8.920833333,Literacy,Reading,Sentence Comprehension Task (Rt),0.15,DLD,deterministic,FOC,240,keyboard
1,1,Clark and Lum (2017a),Clark and Lum ,2017a,20,8.920833333,Literacy,Reading,Word Reading,0.23,DLD,deterministic,FOC,240,keyboard
1,1,Clark and Lum (2017a),Clark and Lum ,2017a,20,8.920833333,Literacy,Reading,Nonword Reading,0.34,DLD,deterministic,FOC,240,keyboard
1,1,Clark and Lum (2017a),Clark and Lum ,2017a,20,9.089166667,Language,Grammar,Grammatical Skills (Rt),0.48,TD,deterministic,FOC,240,keyboard
1,1,Clark and Lum (2017a),Clark and Lum ,2017a,20,9.089166667,Literacy,Reading,Word Recognition Task (Rt),0.18,TD,deterministic,FOC,240,keyboard
1,1,Clark and Lum (2017a),Clark and Lum ,2017a,20,9.089166667,Literacy,Reading,Word Reading,-0.24,TD,deterministic,FOC,240,keyboard
1,1,Clark and Lum (2017a),Clark and Lum ,2017a,20,9.089166667,Literacy,Reading,Nonword Reading,-0.37,TD,deterministic,FOC,240,keyboard
1,2,Deroost et al. (2010),Deroost et al. ,2010,28,13.5,Literacy,Composite,Literacy Composite: Psycholinguistic Quotient,-0.15,DD,deterministic,FOC,1500,keyboard
1,2,Deroost et al. (2010),Deroost et al. ,2010,28,13.5,Literacy,Composite,Literacy Composite: Psycholinguistic Quotient,0.28,DD,deterministic,SOC,1500,keyboard
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Phonological Reception,0.053,TD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Simple Nonword Repetition,0.136,TD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Complex Nonword Repetition,-0.052,TD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Vocabulary,Lexical Reception,0.151,TD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Vocabulary,Picture Naming,0.012,TD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Morphosyntactic Comprehension,0.466,TD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Sentence Repetition (Syntax Index),-0.102,TD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Sentence Repetition (Inflectional Morphology Index),-0.043,TD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Phonological Reception,0.217,DLD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Simple Nonword Repetition,-0.105,DLD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Complex Nonword Repetition,-0.428,DLD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Vocabulary,Lexical Reception,0.3086,DLD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Vocabulary,Picture Naming,0.219,DLD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Morphosyntactic Comprehension,-0.309,DLD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Sentence Repetition (Syntax Index),-0.241,DLD,deterministic,FOC,840,touchscreen
1,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Sentence Repetition (Inflectional Morphology Index),-0.317,DLD,deterministic,FOC,840,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Phonological Reception,0.2361,TD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Simple Nonword Repetition,0.099,TD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Complex Nonword Repetition,0.039,TD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Vocabulary,Lexical Reception,-0.003,TD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Vocabulary,Picture Naming,0.388,TD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Morphosyntactic Comprehension,0.721,TD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Sentence Repetition (Syntax Index),-0.132,TD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Sentence Repetition (Inflectional Morphology Index),0.149,TD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Phonological Reception,0.469,DLD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Simple Nonword Repetition,-0.063,DLD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Complex Nonword Repetition,0.287,DLD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Vocabulary,Lexical Reception,0.493,DLD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Vocabulary,Picture Naming,-0.254,DLD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Morphosyntactic Comprehension,-0.215,DLD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Sentence Repetition (Syntax Index),-0.319,DLD,deterministic,FOC,1008,touchscreen
2,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Sentence Repetition (Inflectional Morphology Index),-0.385,DLD,deterministic,FOC,1008,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Phonological Reception,0.244,TD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Simple Nonword Repetition,0.1239,TD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Phonology,Complex Nonword Repetition,0.147,TD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Vocabulary,Lexical Reception,0.238,TD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Vocabulary,Picture Naming,0.268,TD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Morphosyntactic Comprehension,0.669,TD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Sentence Repetition (Syntax Index),-0.0704,TD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.54,Language,Grammar,Sentence Repetition (Inflectional Morphology Index),0.228,TD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Phonological Reception,0.111,DLD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Simple Nonword Repetition,-0.021,DLD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Phonology,Complex Nonword Repetition,-0.186,DLD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Vocabulary,Lexical Reception,0.243,DLD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Vocabulary,Picture Naming,0.123,DLD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Morphosyntactic Comprehension,-0.078,DLD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Sentence Repetition (Syntax Index),-0.279,DLD,deterministic,FOC,1176,touchscreen
3,3,Desmottes et al. (2016),Desmottes et al. ,2016,21,10.2,Language,Grammar,Sentence Repetition (Inflectional Morphology Index),-0.393,DLD,deterministic,FOC,1176,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Phonological Reception,-0.189,TD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Simple Nonword Repetition,-0.055,TD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Complex Nonword Repetition,-0.107,TD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Vocabulary,Lexical Reception,-0.1,TD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Vocabulary,Lexical Production,-0.342,TD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Comprehension,-0.089,TD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Repetition (Morphology),0.037,TD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Repetition (Syntax),0.065,TD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Phonological Reception,0.077,DLD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Simple Nonword Repetition,-0.053,DLD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Complex Nonword Repetition,0.271,DLD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Vocabulary,Lexical Reception,0.38,DLD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Vocabulary,Lexical Production,0.311,DLD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Comprehension,0.211,DLD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Repetition (Morphology),0.208,DLD,deterministic,FOC,504,touchscreen
1,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Repetition (Syntax),0.282,DLD,deterministic,FOC,504,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Phonological Reception,-0.289,TD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Simple Nonword Repetition,0.085,TD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Complex Nonword Repetition,-0.132,TD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Vocabulary,Lexical Reception,0.022,TD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Vocabulary,Lexical Production,0.272,TD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Comprehension,-0.36,TD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Repetition (Morphology),0.282,TD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Repetition (Syntax),-0.146,TD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Phonological Reception,-0.186,DLD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Simple Nonword Repetition,-0.019,DLD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Complex Nonword Repetition,-0.154,DLD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Vocabulary,Lexical Reception,0.223,DLD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Vocabulary,Lexical Production,-0.171,DLD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Comprehension,0.201,DLD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Repetition (Morphology),-0.142,DLD,deterministic,FOC,672,touchscreen
2,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Repetition (Syntax),0.084,DLD,deterministic,FOC,672,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Phonological Reception,-0.407,TD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Simple Nonword Repetition,0.014,TD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Phonology,Complex Nonword Repetition,0.062,TD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Vocabulary,Lexical Reception,0.115,TD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Vocabulary,Lexical Production,0.186,TD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Comprehension,-0.309,TD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Repetition (Morphology),0.216,TD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,17,10.1175,Language,Grammar,Sentence Repetition (Syntax),-0.109,TD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Phonological Reception,0.033,DLD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Simple Nonword Repetition,-0.3,DLD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Phonology,Complex Nonword Repetition,-0.411,DLD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Vocabulary,Lexical Reception,-0.007,DLD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Vocabulary,Lexical Production,-0.22,DLD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Comprehension,0.094,DLD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Repetition (Morphology),-0.245,DLD,deterministic,FOC,840,touchscreen
3,4,Desmottes et al. (2017a),Desmottes et al. ,2017a,18,10.23583333,Language,Grammar,Sentence Repetition (Syntax),-0.27,DLD,deterministic,FOC,840,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.38333333,Language,Phonology,Phonological Discrimination,-0.163,DLD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.38333333,Language,Vocabulary,Peabody Picture Vocabulary Test,0.022,DLD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.38333333,Language,Grammar,Sentence Comprehension,-0.018,DLD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.38333333,Language,Grammar,Sentence Repetition (Inflexional Morphology),0.338,DLD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.42166667,Language,Phonology,Phonological Discrimination,0.234,TD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.42166667,Language,Vocabulary,Peabody Picture Vocabulary Test,0.116,TD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.42166667,Language,Grammar,Sentence Comprehension,0.642,TD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.42166667,Language,Grammar,Sentence Repetition (Inflexional Morphology),0.318,TD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.405,Language,Phonology,Phonological Discrimination,0.075,DLD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.405,Language,Vocabulary,Peabody Picture Vocabulary Test,-0.107,DLD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.405,Language,Grammar,Sentence Comprehension,0.224,DLD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.405,Language,Grammar,Sentence Repetition (Inflexional Morphology),-0.078,DLD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.39416667,Language,Phonology,Phonological Discrimination,-0.13,TD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.39416667,Language,Vocabulary,Peabody Picture Vocabulary Test,-0.464,TD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.39416667,Language,Grammar,Sentence Comprehension,0.667,TD,deterministic,FOC,1148,touchscreen
3 & 4,5,Desmottes et al. (2017b),Desmottes et al. ,2017b,15,10.39416667,Language,Grammar,Sentence Repetition (Inflexional Morphology),0.596,TD,deterministic,FOC,1148,touchscreen
1,6,Gabriel et al. (2011),Gabriel et al. ,2011,15,10.16666667,Language,Grammar,Receptive Grammar,-0.27,DLD,probabilistic,SOC,832,touchscreen
1,6,Gabriel et al. (2011),Gabriel et al. ,2011,15,10.16666667,Language,Composite,Sentence Production + Word Repetition,-0.44,DLD,probabilistic,SOC,832,touchscreen
1,6,Gabriel et al. (2011),Gabriel et al. ,2011,15,10.16666667,Language,Vocabulary,Receptive Vocabulary,-0.32,DLD,probabilistic,SOC,832,touchscreen
1,6,Gabriel et al. (2011),Gabriel et al. ,2011,15,10.25,Language,Grammar,Sentence Production,0.18,TD,probabilistic,SOC,832,touchscreen
1,6,Gabriel et al. (2011),Gabriel et al. ,2011,15,10.25,Language,Vocabulary,Receptive Vocabulary,0.19,TD,probabilistic,SOC,832,touchscreen
1,7,Gabriel et al. (2013),Gabriel et al. ,2013,23,9.583333333,Language,Vocabulary,Receptive Vocabulary,0.27,TD,deterministic,SOC,672,touchscreen
1,7,Gabriel et al. (2013),Gabriel et al. ,2013,23,9.583333333,Language,Grammar,Receptive Grammar,0.25,TD,deterministic,SOC,672,touchscreen
1,7,Gabriel et al. (2013),Gabriel et al. ,2013,23,9.583333333,Language,Grammar,Expressive Grammar,0.11,TD,deterministic,SOC,672,touchscreen
1,7,Gabriel et al. (2013),Gabriel et al. ,2013,23,9.666666667,Language,Vocabulary,Receptive Vocabulary,0.33,DLD,deterministic,SOC,672,touchscreen
1,7,Gabriel et al. (2013),Gabriel et al. ,2013,23,9.666666667,Language,Grammar,Receptive Grammar,0.48,DLD,deterministic,SOC,672,touchscreen
1,7,Gabriel et al. (2013),Gabriel et al. ,2013,23,9.666666667,Language,Grammar,Expressive Grammar,0.47,DLD,deterministic,SOC,672,touchscreen
1,8,Gabriel et al. (2015),Gabriel et al. ,2015,16,9.916666667,Language,Grammar,Receptive Grammar,-0.46,DLD,deterministic,FOC,448,touchscreen
1,8,Gabriel et al. (2015),Gabriel et al. ,2015,16,9.916666667,Language,Composite,Sentence Production + Word Repetition,0.15,DLD,deterministic,FOC,448,touchscreen
1,8,Gabriel et al. (2015),Gabriel et al. ,2015,16,9.916666667,Language,Vocabulary,Receptive Vocabulary,-0.03,DLD,deterministic,FOC,448,touchscreen
1,8,Gabriel et al. (2015),Gabriel et al. ,2015,16,9.833333333,Language,Grammar,Receptive Grammar,-0.28,TD,deterministic,FOC,448,touchscreen
1,8,Gabriel et al. (2015),Gabriel et al. ,2015,16,9.833333333,Language,Vocabulary,Receptive Vocabulary,-0.39,TD,deterministic,FOC,448,touchscreen
1,9,Henderson & Warmington (2017),Henderson & Warmington ,2017,29,20.31,Literacy,Spelling,Spelling,0.3,TD,deterministic,SOC,360,keyboard
1,9,Henderson & Warmington (2017),Henderson & Warmington ,2017,29,20.31,Literacy,Reading,Word Reading,0.22,TD,deterministic,SOC,360,keyboard
1,9,Henderson & Warmington (2017),Henderson & Warmington ,2017,29,20.31,Literacy,Reading,Nonword Reading,0.13,TD,deterministic,SOC,360,keyboard
1,9,Henderson & Warmington (2017),Henderson & Warmington ,2017,29,20.31,Language,Phonology,Phoneme Elision,0.04,TD,deterministic,SOC,360,keyboard
1,9,Henderson & Warmington (2017),Henderson & Warmington ,2017,30,21.13,Literacy,Spelling,Spelling,-0.07,DD,deterministic,SOC,360,keyboard
1,9,Henderson & Warmington (2017),Henderson & Warmington ,2017,30,21.13,Literacy,Reading,Word Reading,-0.03,DD,deterministic,SOC,360,keyboard
1,9,Henderson & Warmington (2017),Henderson & Warmington ,2017,30,21.13,Literacy,Reading,Nonword Reading,-0.08,DD,deterministic,SOC,360,keyboard
1,9,Henderson & Warmington (2017),Henderson & Warmington ,2017,30,21.13,Language,Phonology,Phoneme Elision,-0.05,DD,deterministic,SOC,360,keyboard
1,10,Kidd (2012),Kidd ,2012,100,5.583333333,Language,Vocabulary,Receptive Vocabulary,0.183,TD,deterministic,FOC,300,gamepad
1,11,Lum et al. (2012),Lum et al. ,2012,51,9.85,Language,Vocabulary,Lexical Abilities Composite,0.233,TD,deterministic,SOC,450,response box
1,11,Lum et al. (2012),Lum et al. ,2012,51,9.85,Language,Grammar,Grammatical Abilities Composite,0.305,TD,deterministic,SOC,450,response box
1,11,Lum et al. (2012),Lum et al. ,2012,51,9.8,Language,Vocabulary,Lexical Abilities Composite,-0.008,DLD,deterministic,SOC,450,response box
1,11,Lum et al. (2012),Lum et al. ,2012,51,9.8,Language,Grammar,Grammatical Abilities Composite,0.112,DLD,deterministic,SOC,450,response box
1,12,Schmalz et al. (2019),Schmalz et al. ,2019,84,27.7,Literacy,Reading,Word Reading,-0.02,TD,deterministic,NA,192,keyboard
1,12,Schmalz et al. (2019),Schmalz et al. ,2019,84,27.7,Literacy,Reading,Nonword Reading,0.02,TD,deterministic,NA,192,keyboard
1,13,Siegelman & Frost (2015),Siegelman & Frost ,2015,76,24.1,Language,Grammar,Syntactic Processing,0.05,TD,probabilistic,SOC,960,keyboard
1,13,Siegelman & Frost (2015),Siegelman & Frost ,2015,76,24.1,,RAN,Ran Objects,0.09,TD,probabilistic,SOC,960,keyboard
1,13,Siegelman & Frost (2015),Siegelman & Frost ,2015,76,24.1,,RAN,Ran Letters,-0.1,TD,probabilistic,SOC,960,keyboard
